ds,y
2021-08-06,594
2021-08-09,608
2021-08-10,605
2021-08-11,602
2021-08-12,615
2021-08-13,607
2021-08-16,580
2021-08-17,569
2021-08-18,587
2021-08-19,576
2021-08-20,581
2021-08-23,601
2021-08-24,602
2021-08-25,604
2021-08-26,595
2021-08-27,603
2021-08-30,619
2021-08-31,622
2021-09-01,620
2021-09-02,616
2021-09-03,617
2021-09-06,619
2021-09-07,634
2021-09-08,638
2021-09-09,638
2021-09-10,622
2021-09-13,629
2021-09-14,629
2021-09-15,639
2021-09-16,644
2021-09-17,647
2021-09-20,622
2021-09-21,631
2021-09-22,642
2021-09-23,642
2021-09-24,660
2021-09-27,677
2021-09-28,666
2021-09-29,674
2021-09-30,669
2021-10-01,668
2021-10-04,672
2021-10-05,674
2021-10-06,677
2021-10-07,686
2021-10-08,679
2021-10-11,686
2021-10-12,698
2021-10-13,698
2021-10-14,705
2021-10-15,724
2021-10-18,749
2021-10-19,741
2021-10-20,741
2021-10-21,769
2021-10-22,781
2021-10-25,881
2021-10-26,879
2021-10-27,895
2021-10-28,922
2021-10-29,963
2021-11-01,1043
2021-11-02,1007
2021-11-03,1042
2021-11-04,1066
2021-11-05,1052
2021-11-08,1003
2021-11-09,880
2021-11-10,936
2021-11-11,929
2021-11-12,904
2021-11-15,892
2021-11-16,933
2021-11-17,964
2021-11-18,965
2021-11-19,1006
2021-11-22,1029
2021-11-23,985
2021-11-24,995
2021-11-25,995
2021-11-26,954
2021-11-29,1007
2021-11-30,1010
2021-12-01,969
2021-12-02,958
2021-12-03,897
2021-12-06,894
2021-12-07,931
2021-12-08,942
2021-12-09,889
2021-12-10,899
2021-12-13,857
2021-12-14,852
2021-12-15,863
2021-12-16,818
2021-12-17,833
2021-12-20,799
2021-12-21,831
2021-12-22,889
2021-12-23,942
2021-12-27,965
2021-12-28,962
2021-12-29,957
2021-12-30,950
2022-01-03,1061
2022-01-04,1021
2022-01-05,965
2022-01-06,942
2022-01-07,904
2022-01-10,932
2022-01-11,936
2022-01-12,966
2022-01-13,901
2022-01-14,920
2022-01-17,917
2022-01-18,909
2022-01-19,877
2022-01-20,882
2022-01-21,834
2022-01-24,824
2022-01-25,814
2022-01-26,834
2022-01-27,745
2022-01-28,759
2022-01-31,832
2022-02-01,826
2022-02-02,800
2022-02-03,781
2022-02-04,807
2022-02-07,790
2022-02-08,807
2022-02-09,815
2022-02-10,792
2022-02-11,762
2022-02-14,776
2022-02-15,811
2022-02-16,810
2022-02-17,771
2022-02-18,756
2022-02-21,725
2022-02-22,724
2022-02-23,677
2022-02-24,714
2022-02-25,717
2022-02-28,775
2022-03-01,774
2022-03-02,790
2022-03-03,758
2022-03-04,766
2022-03-07,743
2022-03-08,755
2022-03-09,775
2022-03-10,763
2022-03-11,729
2022-03-14,699
2022-03-15,732
2022-03-16,761
2022-03-17,781
2022-03-18,818
2022-03-21,839
2022-03-22,893
2022-03-23,906
2022-03-24,918
2022-03-25,917
2022-03-28,993
2022-03-29,990
2022-03-30,977
2022-03-31,976
2022-04-01,980
2022-04-04,1042
2022-04-05,1001
2022-04-06,960
2022-04-07,971
2022-04-08,944
2022-04-11,896
2022-04-12,910
2022-04-13,939
2022-04-14,910
2022-04-19,950
2022-04-20,899
2022-04-21,931
2022-04-22,931
2022-04-25,932
2022-04-26,824
2022-04-27,835
2022-04-28,834
2022-04-29,826
2022-05-02,859
2022-05-03,863
2022-05-04,897
2022-05-05,826
2022-05-06,821
2022-05-09,747
2022-05-10,761
2022-05-11,697
2022-05-12,701
2022-05-13,739
2022-05-16,693
2022-05-17,721
2022-05-18,680
2022-05-19,669
2022-05-20,629
2022-05-23,632
2022-05-24,585
2022-05-25,616
2022-05-26,660
2022-05-27,706
2022-05-30,727
2022-05-31,706
2022-06-01,696
2022-06-02,723
2022-06-03,656
2022-06-06,669
2022-06-07,669
2022-06-08,677
2022-06-09,678
2022-06-10,663
2022-06-13,623
2022-06-14,636
2022-06-15,669
2022-06-16,605
2022-06-17,619
2022-06-20,625
2022-06-21,675
2022-06-22,670
2022-06-23,669
2022-06-24,697
2022-06-27,693
2022-06-28,663
2022-06-29,656
2022-06-30,643
2022-07-01,652
2022-07-04,643
2022-07-05,680
2022-07-06,682
2022-07-07,722
2022-07-08,739
2022-07-11,750
